,,,,,,,
البديعة,مخطط/1638,قطعة 144,1444/04/26,18602483,1518387.00,750.00,2025.00
البديعة,مخطط/1638,قطعة 147/1,1444/04/05,18412658,1000000.00,375.00,2667.00
البديعة,مخطط/1638,قطعة 3/1,1444/04/06,18424022,630000.00,216.00,2917.00
البديعة,مخطط/1638,قطعة 4328,1444/04/15,18515992,1400000.00,750.00,1867.00
البديعة,مخطط/1638,قطعة 4534/2,1444/04/07,18438341,1112302.00,350.00,3178.00
البديعة,مخطط/1638/ ب,قطعة 1580,1444/04/14,18504014,860000.00,552.00,1558.00
البديعة,مخطط/1638/ ب,قطعة 2076,1444/04/20,18561525,1167000.00,775.00,1506.00
البديعة,مخطط/1638/ ب,قطعة 4769/1,1444/04/14,18501862,711429.00,372.00,1912.00
البديعة,مخطط/1638/ ب,قطعة 4769/2,1444/04/14,18501937,474286.00,248.00,1912.00
البديعة,مخطط/1638/ ب,قطعة 7861/2,1444/04/27,18614811,410000.00,250.00,1640.00
البديعة,مخطط/2008/ د,قطعة 6/234,1444/04/23,18590288,900000.00,400.00,2250.00
البديعة,مخطط/2381,قطعة 37,1444/04/10,18471529,710000.00,275.60,2576.00
البديعة,مخطط/2381,قطعة 90,1444/04/06,18430749,1650000.00,448.85,3676.00
البديعة,مخطط/3967/ 14,قطعة 599,1444/04/27,18614563,797000.00,250.00,3188.00
البديعة,مخطط/3967/ 14,قطعة 684,1444/04/27,18612980,705000.00,200.00,3525.00
البديعة,مخطط/أخرى,قطعة بدون,1444/04/09,18440659,550000.00,93.82,5862.00
البديعة,مخطط/أخرى,قطعة بدون,1444/04/22,18571504,120000.00,135.24,887.00
البرية,مخطط/2859,قطعة 567/2,1444/04/19,18547651,350000.00,378.00,926.00
البرية,مخطط/2859,قطعة 739,1444/04/12,18486160,490000.00,675.00,726.00
البرية,مخطط/3672,قطعة 5,1444/04/16,18531395,19500000.00,7315.92,2665.00
البيان,مخطط/2670,قطعة 126/4/1,1444/04/23,18594115,846400.00,368.30,2298.00
البيان,مخطط/2670,قطعة 126/4/2,1444/04/05,18415446,811800.00,369.01,2200.00
البيان,مخطط/2670,قطعة 156/أ/1,1444/04/14,18505402,945000.00,450.00,2100.00
البيان,مخطط/2670,قطعة 175/أ/1,1444/04/14,18506439,945000.00,450.00,2100.00
البيان,مخطط/2670,قطعة 177/3/1,1444/04/23,18594041,756000.00,360.00,2100.00
البيان,مخطط/2670,قطعة 177/3/2,1444/04/23,18593976,756000.00,360.00,2100.00
البيان,مخطط/2670,قطعة 180/2/2,1444/04/21,18573577,760000.00,379.53,2002.00
البيان,مخطط/2670,قطعة 321/2/3,1444/04/23,18591225,1743658.00,322.00,5415.00
البيان,مخطط/2670,قطعة 430/11,1444/04/07,18442837,739200.00,336.00,2200.00
البيان,مخطط/2670,قطعة 459/9,1444/04/02,18402723,1053500.00,490.00,2150.00
البيان,مخطط/2670,قطعة 49/6,1444/04/09,18468042,986000.00,448.89,2197.00
البيان,مخطط/2670,قطعة 562/2,1444/04/23,18587182,500000.00,300.00,1667.00
البيان,مخطط/2670,قطعة 563,1444/04/30,18638761,1400000.00,800.00,1750.00
البيان,مخطط/2670,قطعة 644/1,1444/04/07,18442800,862500.00,375.00,2300.00
البيان,مخطط/2670,قطعة 644/2,1444/04/15,18523082,825000.00,375.00,2200.00
البيان,مخطط/2670,قطعة 69/5,1444/04/22,18582877,737500.00,349.15,2112.00
البيان,مخطط/2670,قطعة 69/6,1444/04/22,18582820,737500.00,349.15,2112.00
البيان,مخطط/2670,قطعة 69/7,1444/04/22,18582857,737500.00,349.15,2112.00
البيان,مخطط/2670,قطعة 69/8,1444/04/22,18582775,737500.00,349.15,2112.00
البيان,مخطط/2670/ 28,قطعة 166/1,1444/04/14,18510301,750000.00,462.40,1622.00
البيان,مخطط/2670/ 28,قطعة 166/2,1444/04/14,18510376,750000.00,462.40,1622.00
البيان,مخطط/2670/ 28,قطعة 505/1,1444/04/24,18595594,495000.00,450.00,1100.00
البيان,مخطط/3052,قطعة 82/2,1444/04/05,18421694,1200000.00,429.39,2795.00
التعاون,مخطط/1822/ س,قطعة 605/1/1,1444/04/19,18553235,3300000.00,372.50,8859.00
التعاون,مخطط/1822/ س,قطعة 698/1/1,1444/04/14,18510456,1330000.00,324.00,4105.00
التعاون,مخطط/1822/ س,قطعة 970/1,1444/04/13,18498854,3930000.00,325.00,12092.00
الثقبة,مخطط/111/ 33,قطعة 58,1444/04/19,18549606,900000.00,275.00,3273.00
الجزيرة,مخطط/1351,قطعة 16/15/17,1444/04/28,18623829,142002.00,484.00,293.00
الجزيرة,مخطط/1351,قطعة 16/6/134,1444/04/14,18502473,300000.00,484.00,620.00
الجزيرة,مخطط/1351,قطعة 5/-/168,1444/04/19,18545453,300000.00,484.00,620.00
الجزيرة,مخطط/1351,قطعة 5/-/902,1444/04/07,18436426,300000.00,484.00,620.00
الجزيرة,مخطط/1351,قطعة 5/4/493,1444/04/19,18544804,300000.00,484.00,620.00
الجنادرية,مخطط/2075,قطعة 825/12,1444/04/07,18439714,1493333.00,324.00,4609.00
الجنادرية,مخطط/2688,قطعة 548,1444/04/12,18485021,1125000.00,750.00,1500.00
الجنادرية,مخطط/3084,قطعة 744/2,1444/04/07,18438696,1202850.00,437.50,2749.00
الجنادرية,مخطط/3084,قطعة 822/2,1444/04/16,18534716,1102800.00,459.53,2400.00
الجنادرية,مخطط/3084,قطعة 894/1,1444/04/07,18442244,308954.00,567.63,544.00
الجنادرية,مخطط/3181,قطعة 1143/1,1444/04/19,18553128,1000000.00,321.75,3108.00
الجنادرية,مخطط/3181,قطعة 157/158/1,1444/04/21,18567768,1486575.00,224.00,6636.00
الجنادرية,مخطط/3181,قطعة 157/158/1,1444/04/21,18568327,500000.00,224.00,2232.00
الجنادرية,مخطط/3181,قطعة 318/1,1444/04/21,18569237,1651259.00,360.00,4587.00
الجنادرية,مخطط/3181,قطعة 400/1,1444/04/05,18414485,1234800.00,210.00,5880.00
الجنادرية,مخطط/3181,قطعة 407/1/1,1444/04/27,18614080,1328638.00,461.45,2879.00
الجنادرية,مخطط/3181,قطعة 940/2,1444/04/12,18476983,1322000.00,326.25,4052.00
الجنادرية,مخطط/3191,قطعة 80/1/1/2,1444/04/21,18572733,950000.00,270.00,3519.00
الجنادرية,مخطط/3191,قطعة 96/1,1444/04/04,18410807,1000000.00,405.00,2469.00
الحائر,مخطط/3325/ 1,قطعة 130,1444/04/16,18529302,375000.00,630.00,595.00
الحائر,مخطط/3325/ 1,قطعة 141,1444/04/26,18601800,335000.00,600.00,558.00
الحائر,مخطط/3708,قطعة 1,1444/04/21,18568591,80000.00,660.00,121.00
الحائر,مخطط/3708,قطعة 108,1444/04/01,18380413,100000.00,480.00,208.00
الحائر,مخطط/3708,قطعة 143,1444/04/20,18564007,250000.00,660.00,379.00
الحائر,مخطط/3708,قطعة 173,1444/04/08,18450872,26400.00,660.00,40.00
الحائر,مخطط/3708,قطعة 179,1444/04/21,18568629,22400.00,660.00,34.00
الحائر,مخطط/3708,عدد العقارات 2-أول ق…,1444/04/08,18450095,52800.00,1320.00,40.00
الحائر,مخطط/أخرى,قطعة بدون,1444/04/02,18393814,200000.00,400.00,500.00
الحائر,مخطط/أخرى,قطعة بدون,1444/04/02,18393967,200000.00,400.00,500.00
الحائر,مخطط/أخرى,قطعة بدون,1444/04/07,18437778,40000.00,315.00,127.00
الحائر,مخطط/أخرى,قطعة بدون,1444/04/14,18500421,130000.00,298.25,436.00
الحزم,مخطط/2105,قطعة 22/2,1444/04/12,18485830,1600000.00,346.79,4614.00
الحزم,مخطط/2191,قطعة 1835/1,1444/04/02,18394127,600000.00,300.00,2000.00
الحزم,مخطط/2191,قطعة 1835/2,1444/04/02,18394209,600000.00,300.00,2000.00
الحزم,مخطط/2191,قطعة 1839/1,1444/04/02,18393618,600000.00,300.00,2000.00
الحزم,مخطط/2191,قطعة 1839/2,1444/04/02,18393799,600000.00,300.00,2000.00
الحزم,مخطط/2191,قطعة 1861/1,1444/04/06,18429360,510000.00,300.00,1700.00
الحزم,مخطط/2259,قطعة 154/2,1444/04/12,18485781,686250.00,375.00,1830.00
الحزم,مخطط/2259,قطعة 156/2,1444/04/12,18485742,686250.00,375.00,1830.00
الحزم,مخطط/2259,عدد العقارات 2-أول ق…,1444/04/21,18573614,2220000.00,1200.00,1850.00
الحزم,مخطط/2825,قطعة 382/2,1444/04/26,18603236,1190000.00,405.00,2938.00
الحزم,مخطط/2825,قطعة 557/2,1444/04/20,18559742,900000.00,345.00,2609.00
الحزم,مخطط/2825,قطعة 577/1,1444/04/20,18559634,900000.00,345.00,2609.00
الحمراء,مخطط/2040,قطعة 2966,1444/04/08,18455216,4250000.00,550.00,7727.00
الحمراء,مخطط/2964,قطعة 468/2,1444/04/06,18432950,5605000.00,1180.00,4750.00
الحمراء,مخطط/2964,قطعة 769/2,1444/04/23,18595205,5500000.00,559.00,9839.00
الحوية,مخطط/2191,قطعة 1837/1,1444/04/02,18394069,600000.00,300.00,2000.00
الحوية,مخطط/2191,قطعة 1837/2,1444/04/02,18393963,600000.00,300.00,2000.00
الخالدية,مخطط/أخرى,قطعة بدون,1444/04/20,18561697,310000.00,108.90,2847.00
الخليج,مخطط/1353/ ب,قطعة 1814/1,1444/04/09,18464439,1546743.00,450.50,3433.00
الخليج,مخطط/1353/ ج,قطعة 1959/2,1444/04/30,18640212,1000000.00,465.00,2151.00
الخليج,مخطط/1932,قطعة 1298,1444/04/20,18563967,2000000.00,750.00,2667.00
الخليج,مخطط/1932,قطعة 1526/1,1444/04/26,18606426,870000.00,360.00,2417.00
الخليج,مخطط/1932,قطعة 946,1444/04/13,18498097,1500000.00,792.00,1894.00
الخليج,مخطط/2779,قطعة 25,1444/04/06,18427914,1152500.00,750.00,1537.00
الخليج,مخطط/2934,قطعة 27,1444/04/26,18606787,3000000.00,1200.00,2500.00
الخليج,مخطط/3007,قطعة 507,1444/04/01,18380426,6000000.00,859.88,6978.00
الخير,مخطط/3312,قطعة 229/2/4,1444/04/02,18403325,650000.00,396.00,1641.00
الخير,مخطط/3312/ أ,قطعة 1118,1444/04/30,18641616,1600000.00,800.00,2000.00
الخير,مخطط/3312/ أ,قطعة 1216,1444/04/27,18615688,1050000.00,800.00,1313.00
الخير,مخطط/3312/ أ,قطعة 1546,1444/04/13,18499965,1100000.00,800.00,1375.00
الخير,مخطط/3312/ أ,قطعة 2113,1444/04/21,18565738,1000000.00,750.90,1332.00
الخير,مخطط/3312/ ب,قطعة 103/2,1444/04/21,18562569,750000.00,437.50,1714.00
الخير,مخطط/3312/ ب,قطعة 1619/2,1444/04/28,18626892,1200000.00,455.00,2637.00
الخير,مخطط/3312/ ب,قطعة 2341,1444/04/26,18607251,1300000.00,750.00,1733.00
الخير,مخطط/3312/ ب,قطعة 256/2,1444/04/28,18626597,840000.00,422.50,1988.00
الخير,مخطط/3312/ ب,قطعة 2613/1,1444/04/26,18607059,600000.00,468.75,1280.00
الخير,مخطط/3312/ ب,قطعة 2613/2,1444/04/26,18607095,600000.00,468.75,1280.00
الخير,مخطط/3312/ ب,قطعة 268/1,1444/04/27,18615587,500000.00,455.00,1099.00
الخير,مخطط/3312/ ب,قطعة 268/2,1444/04/27,18615556,500000.00,455.00,1099.00
الخير,مخطط/3312/ ب,قطعة 2691/1,1444/04/22,18583430,850000.00,505.71,1681.00
الخير,مخطط/3312/ ب,قطعة 2691/2,1444/04/22,18583474,650000.00,376.33,1727.00
الخير,مخطط/3312/ ب,قطعة 3287/1,1444/04/30,18638545,630000.00,455.00,1385.00
الخير,مخطط/3312/ ب,قطعة 329,1444/04/12,18486484,1500000.00,975.00,1538.00
الخير,مخطط/3312/ ب,قطعة 3396,1444/04/27,18613067,1225000.00,853.94,1435.00
الخير,مخطط/3312/ ب,قطعة 3499/2,1444/04/12,18485023,680000.00,455.00,1495.00
الخير,مخطط/3312/ ب,قطعة 3657/1,1444/04/14,18510647,830000.00,455.00,1824.00
الخير,مخطط/3312/ ب,قطعة 3657/1,1444/04/28,18624925,830000.00,455.00,1824.00
الخير,مخطط/3312/ ب,قطعة 4226/2,1444/04/15,18523660,600000.00,455.00,1319.00
الخير,مخطط/3312/ ب,قطعة 4262/1,1444/04/12,18483637,580000.00,487.50,1190.00
الخير,مخطط/3312/ ب,قطعة 5804/2,1444/04/01,18384957,600000.00,455.00,1319.00
الخير,مخطط/3312/ ب,قطعة 584,1444/04/12,18486460,1060000.00,875.00,1211.00
الخير,مخطط/3312/ ب,قطعة 5926/1,1444/04/22,18581099,610000.00,455.00,1341.00
الخير,مخطط/3312/ ب,قطعة 6032/2,1444/04/03,18408010,396000.00,455.00,870.00
الخير,مخطط/3312/ ب,قطعة 6456/2,1444/04/16,18536332,580000.00,472.50,1228.00
الخير,مخطط/3312/ ب,قطعة 6581/2,1444/04/11,18473595,580000.00,437.50,1326.00
الخير,مخطط/3312/ ب,قطعة 6585,1444/04/23,18590071,1850000.00,875.00,2114.00
الخير,مخطط/3312/ ب,قطعة 701/1/1,1444/04/12,18486416,540000.00,309.36,1746.00
الخير,مخطط/3312/ ب,قطعة 701/1/2,1444/04/12,18486377,540000.00,309.36,1746.00
الخير,مخطط/3414,قطعة 1085,1444/04/19,18544473,900000.00,750.00,1200.00
الخير,مخطط/3414,قطعة 236/1,1444/04/02,18394378,450000.00,360.00,1250.00
الخير,مخطط/3414,قطعة 236/2,1444/04/02,18394304,450000.00,360.00,1250.00
الخير,مخطط/3414,قطعة 873/1,1444/04/27,18598259,500000.00,390.00,1282.00
الخير,مخطط/3415,قطعة 262,1444/04/09,18463414,750000.00,710.50,1056.00
الخير,مخطط/3415,قطعة 457/1,1444/04/19,18552536,500000.00,389.47,1284.00
الخير,مخطط/3415,قطعة 460,1444/04/20,18559256,850000.00,754.00,1127.00
الخير,مخطط/3415,قطعة 563/2,1444/04/14,18511208,450000.00,348.00,1293.00
الخير,مخطط/3416,قطعة 50/8/1,1444/04/09,18466779,312000.00,260.00,1200.00
الخير,مخطط/3416,قطعة 50/8/2,1444/04/09,18466781,312000.00,260.00,1200.00
الخير,مخطط/3416,قطعة 8/21/2,1444/04/09,18466689,324500.00,295.00,1100.00
الخير,مخطط/3418,قطعة 349,1444/04/09,18468337,630000.00,644.78,977.00
الخير,مخطط/3419,قطعة 298/2,1444/04/09,18460574,480000.00,405.00,1185.00
الخير,مخطط/3419,قطعة 339,1444/04/28,18622687,600000.00,735.00,816.00
الخير,مخطط/3419,قطعة 72,1444/04/26,18604028,700000.00,808.48,866.00
الخير,مخطط/3420,قطعة 200,1444/04/07,18437134,900000.00,750.00,1200.00
الخير,مخطط/3420,قطعة 248/1,1444/04/09,18464212,400000.00,363.00,1102.00
الخير,مخطط/3421,قطعة 396,1444/04/16,18462600,735400.00,750.00,981.00
الخير,مخطط/3422,قطعة 389,1444/04/23,18564346,870000.00,750.00,1160.00
الخير,مخطط/3424/ 7,قطعة 176,1444/04/15,18519724,400000.00,570.00,702.00
الخير,مخطط/3424/ 7,قطعة 176,1444/04/26,18607084,550000.00,570.00,965.00
الخير,مخطط/3424/ 7,قطعة 335,1444/04/05,18417742,240000.00,600.00,400.00
الخير,مخطط/3424/ 7,قطعة 336,1444/04/05,18418041,260000.00,600.00,433.00
