Neighbourhood,Plannedـtransactionـdetails,Detailsـtransaction,Date,transactionـnumber,Total_price,Area,Price_per_meter
الرحمانية,مخطط/1324/ ب,قطعة 407/1,"Thursday, 24 March 2022 ",16537759,4500000.00,300,"15,000"
الرسالة,مخطط/3215,قطعة 809,"Thursday, 3 March 2022 ",16345301,650000.00,"2,000.00",325
الرضا,مخطط/854/ 3,قطعة 197,"Tuesday, 29 March 2022 ",16592752,1426800.00,594.5,"2,400"
الرفيعة,مخطط/2925,قطعة 246/2,"Wednesday, 30 March 2022 ",16607925,967250.00,365,"2,650"
الرفيعة,مخطط/3038,قطعة 28/11,"Tuesday, 1 March 2022 ",16321438,2600000.00,312.5,"8,320"
الرفيعة,مخطط/3180,قطعة 128/2,"Monday, 14 March 2022 ",16422784,2200000.00,343.75,"6,400"
الرفيعة,مخطط/3180,قطعة 56,"Wednesday, 9 March 2022 ",16396482,1564000.00,507.5,"3,082"
الرفيعة,مخطط/927,قطعة 255,"Monday, 14 March 2022 ",16414215,700000.00,270,"2,593"
الرفيعة,مخطط/927,قطعة 310/86/1,"Monday, 14 March 2022 ",16432960,850000.00,513,"1,657"
الرقيقة,مخطط/3918,قطعة 1786/1,"Thursday, 3 March 2022 ",16341052,200000.00,400,500
الرقيقة,مخطط/3918,قطعة 199/1,"Thursday, 17 March 2022 ",16462766,230000.00,419.16,549
الرقيقة,مخطط/3918,قطعة 2386,"Sunday, 20 March 2022 ",16461107,99000.00,279.45,354
الرمال,مخطط/2160/ ب,قطعة 231,"Thursday, 10 March 2022 ",16406124,1425000.00,500,"2,850"
الرمال,مخطط/2160/ ب,قطعة 29/2,"Tuesday, 1 March 2022 ",16319010,200000.00,312.5,640
الرمال,مخطط/2491/ ب,قطعة 109/1,"Monday, 14 March 2022 ",16430568,3425000.00,"2,500.00","1,370"
الرمال,مخطط/2491/ ب,قطعة 418/3,"Thursday, 17 March 2022 ",16461371,5300000.00,"2,520.00","2,103"
